Altium Designer Pick and Place Locations
E:\Intern\24-ETactileKit-Hardware\05_Compact_PCB_Designs\01_Controller_board_rv_1\Project Outputs for E_tactile\Pick Place for PCB_main_single_side_STACK.csv

========================================================================================================================
File Design Information:

Date:       13/07/25
Time:       17:47
Revision:   79637735fcc5c4467d7a4519e8b238bb4de11a86
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number"
"J4","BC075-02-A-L-A","TopLayer","BC07502ALA","54.1550","6.4770","90","Connector","GCT (GLOBAL CONNECTOR TECHNOLOGY)","BC075-02-A-L-A","640-BC075-02-A-L-A"
"J0","Saolder_bridge","TopLayer","Solder_Bridge","50.3690","1.7780","180","","","",""
"J1","52885-0274","TopLayer","528850274","26.0350","18.3515","270","Connector","Molex","52885-0274","538-52885-0274"
"IC1","LT3757EMSE#TRPBF","TopLayer","SOP50P490X110-11N","30.4800","33.2740","0","Integrated Circuit","Analog Devices","LT3757EMSETRPBF",""
"Q5","SQD25N06-22LT4GE","TopLayer","IPD25N06S4L30ATMA2","47.9040","32.5180","90","60V 25A 30mO@10V 2.5V 1PCSNChannel TO252-2L MOSFETs ROHS","Infineon","25N06","IPD25N06S4L30ATMA2"
"L1","ATB322515-0110","TopLayer","ATB322515","46.2280","27.4320","0","","","",""
"R19","RC0402FR-0722RL","TopLayer","FP-RC0402-0_4-MFG","53.9790","29.9720","270","","","",""
"R31","0603WAF6042T5E","TopLayer","RESC1608X55N","34.7980","9.5250","180","Resistor","Vishay","0603WAF6042T5E","0603WAF6042T5E"
"R30","RT0603BRD0740KL","TopLayer","RESC1608X55N","31.8770","9.5250","180","Resistor","YAGEO","RT0603BRD0740KL","603-RT0603BRD0740KL"
"C2","CL05B104KO5NNNC","TopLayer","CAPC1050X55X23ML05T13","32.7660","20.3200","180","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel","","",""
"C1","CL05B104KO5NNNC","TopLayer","CAPC1050X55X23ML05T13","37.2110","20.1930","180","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel","","",""
"ESP32-S3","SEED XIAO ESP32-SE","TopLayer","PCBComponent_1","10.9855","18.5830","90","","","",""
"J2","52885-0274","TopLayer","528850274","52.9590","18.3515","270","Connector","Molex","52885-0274","538-52885-0274"
"J3","532610271","TopLayer","532610271","9.5250","4.0250","180","C177225","Molex","53261-0271","538-53261-0271"
